COMMIT,AGE,SEX,SCHTYPE,SCHLEVEL,SALARY,CLASSSIZE,RESOURCES,AUTONOMY,CLIMATE,SUPPORT
48,30,1,1,1,42.277,26,5,12,12,12
20,30,1,1,3,40.147,21,5,11,9,11
40,26,1,1,1,41.826,28,7,9,10,12
20,27,1,1,3,37,22,7,5,10,8
26,24,1,1,1,39.032,25,7,10,11,9
48,30,1,1,1,40.785,23,5,10,9,13
56,30,1,1,1,40.355,18,5,13,15,13
49,25,1,1,1,43.619,19,4,10,15,14
43,27,1,1,1,41.789,25,8,10,11,13
66,30,1,1,1,43.129,15,6,12,16,14
28,32,1,1,1,42.391,28,8,12,5,11
65,28,1,1,1,43.36,23,8,13,15,13
46,29,1,1,1,41.653,22,6,14,13,10
43,29,1,1,1,44.998,23,9,11,8,10
34,27,1,1,1,41.24,17,3,9,8,12
60,32,1,1,1,39.779,28,9,13,14,12
62,29,1,1,2,42.708,17,8,13,14,11
17,26,1,1,2,40.542,22,5,10,11,14
54,29,1,1,2,39.53,21,9,11,16,13
32,24,1,1,2,39.127,25,7,9,8,9
61,25,1,1,2,43.319,22,6,12,13,12
29,29,1,1,2,43.291,22,6,12,7,13
41,27,1,1,2,42.016,22,3,11,15,11
38,24,1,1,2,41.146,20,6,13,14,11
23,30,1,1,2,38.475,22,5,7,11,9
51,26,1,1,3,41.841,22,6,10,13,12
31,24,1,1,3,40.053,20,6,9,12,9
59,29,1,1,3,38.141,21,5,11,8,12
46,29,1,1,3,38.597,17,6,7,12,11
19,25,1,1,3,40.462,26,4,10,10,10
45,28,1,1,3,41.08,24,6,11,11,13
53,25,1,1,3,39.017,26,5,13,8,11
64,23,1,1,1,41.028,22,9,12,15,14
45,28,1,1,3,40.733,28,3,14,12,15
37,30,1,1,3,38.255,25,5,6,10,10
38,26,1,1,3,37.886,26,6,10,5,8
46,29,1,1,3,41.584,17,4,10,15,13
42,33,1,1,3,43.172,23,6,9,9,11
42,25,1,1,2,41.206,20,8,10,13,13
51,27,1,1,2,41.541,15,7,8,12,12
52,34,2,1,2,42.416,27,5,11,13,13
24,28,2,1,3,39.651,28,4,10,10,13
45,28,2,1,2,39.979,27,5,13,9,13
25,28,2,1,2,37,25,6,8,12,10
31,28,2,1,1,42.882,26,5,9,10,11
52,31,2,1,1,40.863,28,6,14,10,10
60,28,2,1,1,37.769,15,9,11,13,12
53,29,2,1,1,39.104,24,8,10,12,11
48,27,2,1,1,42.836,19,8,14,13,12
70,29,2,1,3,42.42,19,7,12,13,11
32,28,2,1,3,42.664,25,8,10,12,13
69,34,2,2,3,43.561,19,7,11,10,13
50,30,2,2,3,40.431,17,6,6,11,12
48,27,2,1,3,39.352,27,6,13,15,12
39,29,2,2,2,38.202,24,4,8,4,12
64,28,2,2,2,43.709,20,5,11,15,13
66,25,2,2,2,37.973,21,5,11,12,11
21,26,2,2,2,38.993,29,6,11,10,12
58,25,2,2,2,42.764,22,4,13,16,14
37,33,2,2,1,40.266,28,7,10,13,12
65,30,2,2,1,42.304,23,9,10,11,10
33,26,2,2,1,37,25,5,7,13,8
46,31,2,2,2,43.23,17,7,12,13,11
43,30,2,2,2,37.696,33,8,10,8,9
27,29,2,2,1,38.525,26,4,7,6,11
55,29,2,2,2,40.342,23,5,13,11,10
35,28,2,2,2,40.504,24,5,8,14,13
64,28,2,2,2,39.463,30,6,12,12,10
50,23,2,2,2,37.43,24,6,10,15,12
23,31,2,2,3,37,32,5,10,5,11
49,23,2,2,2,42.752,25,6,9,16,10
57,24,2,2,2,43.454,17,6,11,17,14
69,28,2,2,2,43.167,23,7,11,14,13
49,31,2,2,2,41.696,28,7,15,13,13
41,28,2,2,2,40.76,22,6,9,10,15
57,28,1,2,2,47.183,15,7,8,10,9
29,25,1,2,3,46.508,17,5,9,10,11
50,28,1,2,3,44.252,17,8,11,12,13
30,28,1,2,3,43.208,20,5,7,9,12
36,27,1,2,3,42.327,17,5,6,9,14
58,27,1,2,3,45.06,21,6,12,11,11
66,30,1,2,1,42.313,17,6,11,13,11
58,26,1,2,3,42.571,18,7,11,11,15
53,30,1,2,3,46.058,20,4,7,10,11
75,31,1,2,1,48,19,9,9,14,11
38,28,1,2,2,45.153,16,9,10,14,11
75,27,1,2,2,41.96,21,5,12,13,11
55,25,1,2,2,39.891,19,6,10,12,11
53,28,1,2,2,44,16,9,7,13,12
44,30,1,2,2,44.74,15,5,8,9,13
70,30,1,2,2,42.065,15,9,12,11,14
72,28,1,2,1,44.844,20,7,11,14,11
27,25,1,2,1,44.443,20,5,11,10,10
64,23,1,2,1,41.306,18,6,8,10,11
42,25,1,2,1,46.404,13,6,10,12,11
70,29,1,2,1,47.598,18,9,10,9,14
39,31,1,2,1,41.771,17,6,8,7,12
51,29,1,2,1,46.86,22,9,12,14,8
48,24,1,2,1,43.011,18,7,8,14,13
33,23,1,2,3,44,18,7,9,12,14
60,27,1,2,1,47.823,15,7,10,16,14
41,31,1,2,1,44.72,17,6,10,12,14
69,30,1,2,1,44,16,7,11,12,13
56,27,1,2,1,47.635,18,9,10,11,12
28,25,1,2,2,38.819,19,4,5,3,8
55,27,1,2,2,45.196,14,6,8,11,12
62,25,1,2,2,45.59,15,6,7,8,13
74,29,1,2,2,46.281,18,8,9,9,14
55,33,1,2,2,44,17,8,10,13,12
46,27,1,3,2,45.761,18,7,10,15,15
64,31,1,3,2,48,19,7,11,12,17
53,29,1,3,2,48,20,4,11,15,13
71,27,1,3,2,47.251,19,8,11,17,14
43,25,1,3,3,45.074,20,6,12,14,16
62,26,2,3,3,47.575,15,7,11,8,16
34,25,2,3,3,40.234,18,2,12,12,16
55,31,2,3,3,45.245,22,8,7,12,12
35,29,2,3,3,46.116,21,9,11,10,13
41,31,2,3,3,46.116,15,7,7,10,14
62,28,2,3,3,47.918,17,7,6,11,10
70,31,2,3,3,47,22,7,13,12,13
63,31,2,3,3,47.512,22,9,9,11,12
58,26,2,3,2,45.939,14,8,10,14,14
80,29,2,3,1,44,18,8,13,14,14
42,26,2,3,2,46.146,13,9,7,15,12
79,27,2,3,1,42.162,19,5,11,16,14
60,26,2,3,2,46.227,22,5,12,11,12
57,29,2,3,2,47,17,7,10,11,12
49,24,2,3,2,44,12,8,6,12,12
74,34,2,3,2,41.043,13,8,9,12,9
76,29,2,3,1,40.05,18,6,12,13,11
31,25,2,3,2,40.283,21,4,5,8,13
68,29,2,3,3,46.546,22,10,11,14,10
47,31,2,3,3,43.833,15,8,8,13,17
75,28,2,3,3,46.422,17,6,12,10,12
43,28,2,3,3,47,18,10,8,11,12
56,28,2,3,3,45.671,12,7,8,16,15
52,26,2,3,3,43.484,20,7,9,12,10
37,31,2,3,3,45.129,18,7,11,10,11
65,28,2,3,3,47.271,18,8,13,17,14
45,26,2,3,3,45.238,20,8,11,14,13
73,27,2,3,2,44,15,9,12,15,14
60,29,2,3,2,45.011,18,8,8,11,14
33,28,2,3,2,47.002,21,10,9,12,13
59,29,2,2,1,45.407,13,6,11,14,14
67,29,2,2,1,47,17,9,9,14,10
78,30,2,2,1,44.049,17,6,9,12,14
59,31,2,2,1,42.294,12,7,10,10,14
51,29,2,2,1,47.994,15,7,8,11,12
69,27,2,2,1,40.093,19,6,9,15,14
